codigo;descripcion;descripcion_en;clasificacion
WG 595.H3;Arteria hepática;Hepatic artery;Sistema cardiovascular
WG 595.I5;Arteria ilíaca;Iliac artery;Sistema cardiovascular
[WG 595.I6];[Este número no se utiliza];[This number not used];Sistema cardiovascular
WG 595.M2;Arteria maxilar;Maxillary artery;Sistema cardiovascular
WG 595.M3;Arterias meníngeas;Meningeal arteries;Sistema cardiovascular
WG 595.M38;Arterias mesentéricas;Mesenteric arteries;Sistema cardiovascular
WG 595.O7;Arteria oftálmica;Ophthalmic artery;Sistema cardiovascular
WG 595.P6;Arteria poplítea;Popliteal artery;Sistema cardiovascular
WG 595.P8;Arteria pulmonar;Pulmonary artery;Sistema cardiovascular
WG 595.R3;Arteria renal;Renal artery;Sistema cardiovascular
WG 595.R38;Arteria retiniana;Retinal artery;Sistema cardiovascular
WG 595.S7;Arteria esplénica;Splenic artery;Sistema cardiovascular
WG 595.S8;Arteria subclavia;Subclavian artery;Sistema cardiovascular
WG 595.T3;Arterias temporales;Temporal arteries;Sistema cardiovascular
WG 595.T4;Arterias torácicas;Thoracic arteries;Sistema cardiovascular
WG 595.U6;Arterias umbilicales;Umbilical arteries;Sistema cardiovascular
WG 595.V3;Arteria vertebral;Vertebral artery;Sistema cardiovascular
WG 600;Venas;Veins;Sistema cardiovascular
WG 610;Trombosis venosa y trastornos relacionados;Venous thrombosis and related disorders;Sistema cardiovascular
WG 620;Varices;Varicose veins;Sistema cardiovascular
WG 625;Venas específicas, A-Z;Specific veins, A-Z;Sistema cardiovascular
WG 625.A9;Vena axilar;Axillary vein;Sistema cardiovascular
WG 625.A99;Vena ácigos;Azygos vein;Sistema cardiovascular
WG 625.B7;venas braquiocefálicas;Brachiocephalic veins;Sistema cardiovascular
WG 625.C3;venas cerebrales;Cerebral veins;Sistema cardiovascular
WG 625.C7;Senos craneales;Cranial sinuses;Sistema cardiovascular
WG 625.F3;Vena femoral;Femoral vein;Sistema cardiovascular
WG 625.H3;venas hepáticas;Hepatic veins;Sistema cardiovascular
WG 625.I5;vena ilíaca;Iliac vein;Sistema cardiovascular
[WG 625.I6];[Este número no se utiliza];[This number not used];Sistema cardiovascular
WG 625.J8;Venas yugulares;Jugular veins;Sistema cardiovascular
WG 625.P6;vena poplítea;Popliteal vein;Sistema cardiovascular
WG 625.P8;venas pulmonares;Pulmonary veins;Sistema cardiovascular
WG 625.R3;venas renales;Renal veins;Sistema cardiovascular
WG 625.R38;vena retiniana;Retinal vein;Sistema cardiovascular
WG 625.S2;vena safena;Saphenous vein;Sistema cardiovascular
WG 625.S8;Vena subclavia;Subclavian vein;Sistema cardiovascular
WG 625.V3;Venas cavas;Venae cavae;Sistema cardiovascular
WG 700;Capilares;Capillaries;Sistema cardiovascular
WH 1;Organizaciones. Sociedades (generales o no clasificadas en otra parte);Organizations. Societies (General or not elsewhere classified);Sistemas hemático y linfático
WH 5;Obras recopiladas de varios autores;Collected works by several authors;Sistemas hemático y linfático
WH 7;Obras recopiladas de autores individuales;Collected works by individual authors;Sistemas hemático y linfático
WH 9;Discursos. Ensayos. Conferencias.;Addresses. Essays. Lectures;Sistemas hemático y linfático
WH 11;Historia;History;Sistemas hemático y linfático
WH 11.1;Cobertura general;General coverage;Sistemas hemático y linfático
WH 13;Diccionarios. Enciclopedias;Dictionaries. Encyclopedias;Sistemas hemático y linfático
WH 15;Clasificación. Terminología;Classification. Terminology;Sistemas hemático y linfático
WH 16;Tablas. Estadísticas. Encuestas;Tables. Statistics. Surveys;Sistemas hemático y linfático
WH 16.1;Cobertura general;General coverage;Sistemas hemático y linfático
WH 17;Atlas. Obras pictóricas;Atlases. Pictorial works;Sistemas hemático y linfático
WH 18;Educación;Education;Sistemas hemático y linfático
WH 18.2;Materiales educativos;Educational materials;Sistemas hemático y linfático
WH 19;Escuelas, departamentos y facultades de hematología;Schools, departments and faculties of hematology;Sistemas hemático y linfático
WH 19.1;Cobertura general;General coverage;Sistemas hemático y linfático
WH 20;Investigación (General);Research (General);Sistemas hemático y linfático
WH 21;La hematología como profesión. Ética. Revisión por pares.;Hematology as a profession. Ethics. Peer review;Sistemas hemático y linfático
WH 22;Directorios;Directories;Sistemas hemático y linfático
WH 22.1;Cobertura general;General coverage;Sistemas hemático y linfático
WH 23;Laboratorios colectivos, academias, institutos, etc.;Collective laboratories, academies, institutes, etc.;Sistemas hemático y linfático
WH 24;Laboratorios individuales, academias, institutos, etc.;Individual laboratories, academies, institutes, etc.;Sistemas hemático y linfático
WH 24.5;bancos de sangre;Blood banks;Sistemas hemático y linfático
WH 24.51;Cobertura general;General coverage;Sistemas hemático y linfático
WH 25;Manuales de laboratorio. Técnica;Laboratory manuals. Technique;Sistemas hemático y linfático
WH 26;Equipos y suministros;Equipment and supplies;Sistemas hemático y linfático
WH 26.5;Informática. Procesamiento electrónico de datos. Informática (General);Informatics. Electronic data processing. Computers (General);Sistemas hemático y linfático
WH 27;Hospitales colectivos, clínicas, etc.;Collective hospitals, clinics, etc.;Sistemas hemático y linfático
WH 27.1;Cobertura general;General coverage;Sistemas hemático y linfático
WH 28;Hospitales individuales, clínicas, etc.;Individual hospitals, clinics, etc.;Sistemas hemático y linfático
WH 28.5;Museos colectivos, exposiciones, etc.;Collective museums, exhibitions, etc.;Sistemas hemático y linfático
WH 28.6;Museos individuales, exposiciones, etc.;Individual museums, exhibitions, etc.;Sistemas hemático y linfático
WH 32;Leyes;Laws;Sistemas hemático y linfático
WH 32.1;Cobertura general;General coverage;Sistemas hemático y linfático
WH 33;Discusión de derecho;Discussion of law;Sistemas hemático y linfático
WH 33.1;Cobertura general;General coverage;Sistemas hemático y linfático
WH 39;Manuales. Guías de recursos;Handbooks. Resource guides;Sistemas hemático y linfático
WH 100;Sangre (general o no clasificada en otro lugar);Blood (General or not elsewhere classified);Sistemas hemático y linfático
WH 120;Enfermedades hematológicas (generales o no clasificadas en otra parte);Hematologic diseases (General or not elsewhere classified);Sistemas hemático y linfático
WH 140;Sistema hematopoyético y hematopoyesis. Células sanguíneas (General);Hematopoietic system and hematopoiesis. Blood cells (General);Sistemas hemático y linfático
WH 150;eritrocitos;Erythrocytes;Sistemas hemático y linfático
WH 155;Anemia;Anemia;Sistemas hemático y linfático
WH 160;anemia hipocrómica;Hypochromic anemia;Sistemas hemático y linfático
WH 165;Anemia macrocítica;Macrocytic anemia;Sistemas hemático y linfático
WH 170;anemia hemolítica;Hemolytic anemia;Sistemas hemático y linfático
WH 173;anemia de células falciformes;Sickle cell anemia;Sistemas hemático y linfático
WH 175;Anemia aplásica;Aplastic anemia;Sistemas hemático y linfático
WH 180;Policitemia. Policitemia vera;Polycythemia. Polycythemia vera;Sistemas hemático y linfático
WH 190;Hemoproteínas. Hematoporfirinas. Hemo;Hemeproteins. Hematoporphyrins. Heme;Sistemas hemático y linfático
WH 200;Leucocitos. Trastornos leucocitarios (General);Leukocytes. Leukocyte disorders (General);Sistemas hemático y linfático
WH 220;Linfocitos;Lymphocytes;Sistemas hemático y linfático
WH 250;Leucemia;Leukemia;Sistemas hemático y linfático
WH 260;Leucemia linfoide;Lymphoid  leukemia;Sistemas hemático y linfático
WH 265;Leucemia mieloide;Myeloid  leukemia;Sistemas hemático y linfático
WH 300;plaquetas sanguíneas;Blood platelets;Sistemas hemático y linfático
WH 305;Hemostasia;Hemostasis;Sistemas hemático y linfático
WH 310;Fisiología de la coagulación sanguínea. Factores de coagulación sanguínea.;Physiology of blood coagulation. Blood coagulation factors;Sistemas hemático y linfático
WH 311;Fibrinólisis y proteínas sanguíneas asociadas;Fibrinolysis and associated blood proteins;Sistemas hemático y linfático
WH 312;Trastornos hemorrágicos (generales);Hemorrhagic disorders (General);Sistemas hemático y linfático
[WH 314];[Este número no se utiliza];[This number not used];Sistemas hemático y linfático
[WH 315];[Este número no se utiliza];[This number not used];Sistemas hemático y linfático
[WH 320];[Este número no se utiliza];[This number not used];Sistemas hemático y linfático
WH 322;Trastornos de la coagulación sanguínea (General);Blood coagulation disorders (General);Sistemas hemático y linfático
WH 325;Hemofilia. Hemartrosis;Hemophilia. Hemarthrosis;Sistemas hemático y linfático
WH 380;Médula ósea. Células de la médula ósea;Bone marrow. Bone marrow cells;Sistemas hemático y linfático
WH 382;Trasplante de médula ósea;Bone marrow transplantation;Sistemas hemático y linfático
WH 383;Células madre hematopoyéticas. Trasplante de células madre hematopoyéticas;Hematopoietic stem cells.  Hematopoietic stem cell transplantation;Sistemas hemático y linfático
WH 385;Enfermedades de la médula ósea;Bone marrow diseases;Sistemas hemático y linfático
WH 400;Plasma. Suero. Proteínas sanguíneas. Trastornos de las proteínas sanguíneas.;Plasma. Serum. Blood proteins. Blood protein disorders;Sistemas hemático y linfático
WH 420;Antígenos de grupos sanguíneos. Incompatibilidad de grupos sanguíneos (General);Blood group antigens. Blood group incompatibility (General);Sistemas hemático y linfático
WH 425;Sistema de grupos sanguíneos Rh-Hr. Eritroblastosis fetal.;Rh-Hr blood group system. Fetal erythroblastosis;Sistemas hemático y linfático
WH 450;sustitutos de la sangre;Blood substitutes;Sistemas hemático y linfático
WH 460;Bancos de sangre;Blood banking;Sistemas hemático y linfático
WH 470;Donación de sangre. Donantes de sangre;Blood donation. Blood donors;Sistemas hemático y linfático
WH 490;Neoplasias hematológicas (generales);Hematologic neoplasms (General);Sistemas hemático y linfático
WH 500;enfermedad de Hodgkin;Hodgkin disease;Sistemas hemático y linfático
WH 525;Linfoma;Lymphoma;Sistemas hemático y linfático
WH 540;Neoplasias de células plasmáticas;Plasma cell neoplasms;Sistemas hemático y linfático
WH 600;Bazo;Spleen;Sistemas hemático y linfático
WH 650;Sistema fagocítico mononuclear;Mononuclear phagocyte system;Sistemas hemático y linfático
WH 700;Sistema linfático;Lymphatic system;Sistemas hemático y linfático
WH 710;tejido linfoide;Lymphoid tissue;Sistemas hemático y linfático
WH 720;Enfermedades linfáticas (General);Lymphatic diseases (General);Sistemas hemático y linfático
WI 1;Organizaciones. Sociedades (generales o no clasificadas en otra parte);Organizations. Societies (General or not elsewhere classified);Sistema digestivo
WI 5;Obras recopiladas de varios autores;Collected works by several authors;Sistema digestivo
WI 7;Obras recopiladas de autores individuales;Collected works by individual authors;Sistema digestivo
WI 9;Discursos. Ensayos. Conferencias.;Addresses. Essays. Lectures;Sistema digestivo
WI 11;Historia;History;Sistema digestivo
WI 11.1;Cobertura general;General coverage;Sistema digestivo
WI 13;Diccionarios. Enciclopedias;Dictionaries. Encyclopedias;Sistema digestivo
WI 15;Clasificación. Terminología;Classification. Terminology;Sistema digestivo
WI 16;Tablas. Estadísticas. Encuestas;Tables. Statistics. Surveys;Sistema digestivo
WI 16.1;Cobertura general;General coverage;Sistema digestivo
WI 17;Atlas. Obras pictóricas;Atlases. Pictorial works;Sistema digestivo
WI 18;Educación;Education;Sistema digestivo
WI 18.2;Materiales educativos;Educational materials;Sistema digestivo
WI 19;Escuelas, departamentos y facultades de gastroenterología;Schools, departments, and faculties of gastroenterology;Sistema digestivo
WI 19.1;Cobertura general;General coverage;Sistema digestivo
WI 20;Investigación (General);Research (General);Sistema digestivo
WI 21;La gastroenterología como profesión. Ética. Revisión por pares.;Gastroenterology as a profession. Ethics. Peer review;Sistema digestivo
WI 22;Directorios;Directories;Sistema digestivo
WI 22.1;Cobertura general;General coverage;Sistema digestivo
WI 23;Laboratorios colectivos, academias, institutos, etc.;Collective laboratories, academies, institutes, etc.;Sistema digestivo
WI 24;Laboratorios individuales, academias, institutos, etc.;Individual laboratories, academies, institutes, etc.;Sistema digestivo
WI 25;Manuales de laboratorio. Técnica;Laboratory manuals. Technique;Sistema digestivo
WI 26;Equipos y suministros;Equipment and supplies;Sistema digestivo
WI 26.5;Informática. Procesamiento electrónico de datos. Informática (General);Informatics. Electronic data processing. Computers (General);Sistema digestivo
WI 27;Hospitales colectivos, clínicas, etc.;Collective hospitals, clinics, etc.;Sistema digestivo
WI 27.1;Cobertura general;General coverage;Sistema digestivo
WI 28;Hospitales individuales, clínicas, etc.;Individual hospitals, clinics, etc.;Sistema digestivo
WI 28.5;Museos colectivos, exposiciones, etc.;Collective museums, exhibitions, etc.;Sistema digestivo
WI 28.6;Museos individuales, exposiciones, etc.;Individual museums, exhibitions, etc.;Sistema digestivo
WI 32;Leyes;Laws;Sistema digestivo
WI 32.1;Cobertura general;General coverage;Sistema digestivo
WI 33;Discusión de derecho;Discussion of law;Sistema digestivo
WI 33.1;Cobertura general;General coverage;Sistema digestivo
WI 39;Manuales. Guías de recursos;Handbooks. Resource guides;Sistema digestivo
WI 100;Obras generales;General works;Sistema digestivo
WI 101;Anatomía. Histología. Embriología. Anomalías congénitas (generales o no clasificadas en otra parte);Anatomy. Histology. Embryology. Congenital abnormalities (General or not elsewhere classified);Sistema digestivo
WI 102;Fisiología. Bioquímica. Digestión.;Physiology. Biochemistry. Digestion;Sistema digestivo
[WI 113];[Este número no se utiliza];[This number not used];Sistema digestivo
WI 140;Enfermedades (General);Diseases (General);Sistema digestivo
WI 141;Examen. Diagnóstico. Métodos de diagnóstico. Monitoreo (General);Examination. Diagnosis. Diagnostic methods. Monitoring (General);Sistema digestivo
WI 143;Signos y síntomas;Signs and symptoms;Sistema digestivo
WI 145;Dispepsia y afecciones relacionadas;Dyspepsia and related conditions;Sistema digestivo
WI 146;Náuseas. Vómitos;Nausea. Vomiting;Sistema digestivo
WI 147;Dolor abdominal;Abdominal pain;Sistema digestivo
WI 149;Neoplasias del sistema digestivo;Digestive system neoplasms;Sistema digestivo
[WI 150];[Este número no se utiliza];[This number not used];Sistema digestivo
WI 190;Tracto gastrointestinal;Gastrointestinal tract;Sistema digestivo
WI 195;Enfermedades gastrointestinales (General);Gastrointestinal diseases (General);Sistema digestivo
WI 200;Boca;Mouth;Sistema digestivo
WI 210;Lengua;Tongue;Sistema digestivo
WI 212;Gusto. Papilas gustativas. Percepción del gusto.;Taste. Taste Buds. Taste Perception;Sistema digestivo
WI 230;Glándulas salivales;Salivary glands;Sistema digestivo
WI 250;Esófago;Esophagus;Sistema digestivo
WI 255;Enfermedades esofágicas (General);Esophageal diseases (General);Sistema digestivo
WI 258;Trastornos de la deglución;Deglutition disorders;Sistema digestivo
WI 260;Neoplasias esofágicas;Esophageal neoplasms;Sistema digestivo
WI 300;Obras generales;General works;Sistema digestivo
WI 301;Anatomía. Histología. Embriología. Anomalías congénitas.;Anatomy. Histology. Embryology. Congenital abnormalities;Sistema digestivo
WI 302;Fisiología;Physiology;Sistema digestivo
WI 306;Enfermedades del estómago (General);Stomach diseases (General);Sistema digestivo
WI 308;Aclorhidria;Achlorhydria;Sistema digestivo
WI 310;Gastritis;Gastritis;Sistema digestivo
WI 320;Neoplasias de estómago;Stomach neoplasms;Sistema digestivo
WI 350;Úlcera péptica;Peptic ulcer;Sistema digestivo
WI 360;Úlcera de estómago;Stomach ulcer;Sistema digestivo
WI 370;Úlcera duodenal;Duodenal ulcer;Sistema digestivo
WI 380;Cirugía de estómago. Síndromes posgastrectomía.;Stomach surgery. Postgastrectomy syndromes;Sistema digestivo
WI 387;Píloro. Antro pilórico. Estenosis pilórica.;Pylorus. Pyloric antrum. Pyloric stenosis;Sistema digestivo
WI 400;Obras generales;General works;Sistema digestivo
WI 402;Fisiología;Physiology;Sistema digestivo
WI 405;Signos y síntomas;Signs and symptoms;Sistema digestivo
WI 407;Diarrea;Diarrhea;Sistema digestivo
WI 409;Constipación;Constipation;Sistema digestivo
WI 412;Anomalías congénitas;Congenital abnormalities;Sistema digestivo
WI 418;Enfermedades intestinales (General);Intestinal diseases (General);Sistema digestivo
WI 420;Inflamación;Inflammation;Sistema digestivo
WI 422;enfermedad de Crohn;Crohn disease;Sistema digestivo
WI 425;Diverticulitis. Divertículo;Diverticulitis. Diverticulum;Sistema digestivo
WI 430;Pólipos intestinales. Poliposis;Intestinal polyps. Polyposis;Sistema digestivo
WI 435;Neoplasias intestinales;Intestinal neoplasms;Sistema digestivo
WI 450;Intususcepción. Vólvulo;Intussusception. Volvulus;Sistema digestivo
WI 460;Obstrucción intestinal. Íleo;Intestinal obstruction. Ileus;Sistema digestivo
WI 470;Síndromes de malabsorción;Malabsorption syndromes;Sistema digestivo
WI 471;enfermedad celíaca;Celiac disease;Sistema digestivo
WI 480;Cirugía intestinal;Intestinal surgery;Sistema digestivo
WI 500;Intestino delgado. Mesenterio;Small intestine. Mesentery;Sistema digestivo
WI 505;Duodeno;Duodenum;Sistema digestivo
WI 510;Yeyuno;Jejunum;Sistema digestivo
WI 512;Íleon;Ileum;Sistema digestivo
WI 518;Intestino grueso;Large intestine;Sistema digestivo
WI 520;Colon;Colon;Sistema digestivo
WI 521;Enfermedades del colon (General);Colonic diseases (General);Sistema digestivo
WI 522;Inflamación;Inflammation;Sistema digestivo
WI 528;Megacolon;Megacolon;Sistema digestivo
WI 529;Neoplasias de colon. Pólipos;Colonic neoplasms. Polyps;Sistema digestivo
WI 530;Ciego;Cecum;Sistema digestivo
WI 535;Apéndice;Appendix;Sistema digestivo
WI 560;Sigmoideo;Sigmoid;Sistema digestivo
WI 575;Peritoneo. Espacio retroperitoneal;Peritoneum. Retroperitoneal space;Sistema digestivo
WI 600;Obras generales;General works;Sistema digestivo
WI 603;Enfermedades del recto (General);Rectal diseases (General);Sistema digestivo
WI 605;Hemorroides. Fisura anal. Fístula rectal.;Hemorrhoids. Fissure in ano. Rectal fistula;Sistema digestivo
WI 610;Neoplasias rectales;Rectal neoplasms;Sistema digestivo
WI 620;Proctoscopia. Sigmoidoscopia;Proctoscopy. Sigmoidoscopy;Sistema digestivo
WI 650;procedimientos quirúrgicos colorrectales;Colorectal surgical procedures;Sistema digestivo
WI 700;Obras generales;General works;Sistema digestivo
WI 702;Fisiología. Circulación hepática;Physiology. Liver circulation;Sistema digestivo
WI 703;Bilis. Ácidos biliares, alcoholes y sales. Ictericia (general o no clasificada en otra parte).;Bile. Bile acids, alcohols, and salts. Jaundice (General or not elsewhere classified);Sistema digestivo
[WI 704];[Este número no se utiliza];[This number not used];Sistema digestivo
WI 710;Enfermedades del hígado (General);Liver diseases (General);Sistema digestivo
WI 712;Insuficiencia hepática;Hepatic insufficiency;Sistema digestivo
WI 715;Hepatitis (general o no clasificada en otra parte);Hepatitis (General or not elsewhere classified);Sistema digestivo
WI 720;Trastornos de la circulación hepática. Sistema portal. Hipertensión portal.;Liver circulation disorders. Portal system. Portal hypertension;Sistema digestivo
WI 725;cirrosis hepática;Liver cirrhosis;Sistema digestivo
WI 730;absceso hepático;Liver abscess;Sistema digestivo
WI 735;Neoplasias hepáticas;Liver neoplasms;Sistema digestivo
WI 740;Enfermedades degenerativas. Degeneración hepatolenticular.;Degenerative diseases. Hepatolenticular degeneration;Sistema digestivo
WI 750;Vías biliares. Colecistografía;Biliary tract. Cholecystography;Sistema digestivo
WI 753;Enfermedades de las vías biliares (General);Biliary tract diseases (General);Sistema digestivo
WI 755;Colecistitis. Colelitiasis;Cholecystitis. Cholelithiasis;Sistema digestivo
WI 765;Neoplasias de las vías biliares;Biliary tract neoplasms;Sistema digestivo
WI 770;Cirugía de hígado y vías biliares;Liver and biliary tract surgery;Sistema digestivo
WI 800;Obras generales;General works;Sistema digestivo
WI 802;Fisiología. Secreciones;Physiology. Secretions;Sistema digestivo
WI 803;Enfermedades pancreáticas (General);Pancreatic diseases (General);Sistema digestivo
WI 805;Pancreatitis;Pancreatitis;Sistema digestivo
WI 810;Neoplasias pancreáticas;Pancreatic neoplasms;Sistema digestivo
WI 820;Fibrosis quística;Cystic fibrosis;Sistema digestivo
WI 830;Cirugía de páncreas;Pancreatic surgery;Sistema digestivo
WI 900;Obras generales;General works;Sistema digestivo
[WI 940];[Este número no se utiliza];[This number not used];Sistema digestivo
WI 950;Hernia;Hernia;Sistema digestivo
WI 955;Ventral;Ventral;Sistema digestivo
WI 960;Inguinal;Inguinal;Sistema digestivo
WI 965;Femoral;Femoral;Sistema digestivo
WI 970;Neoplasias abdominales;Abdominal neoplasms;Sistema digestivo
WI 980;Procedimientos quirúrgicos del sistema digestivo (generales o no clasificados en otra parte);Digestive system surgical procedures (General or not elsewhere classified);Sistema digestivo
WJ 1;Organizaciones. Sociedades (generales o no clasificadas en otra parte);Organizations. Societies (General or not elsewhere classified);Sistema urogenital
WJ 5;Obras recopiladas de varios autores;Collected works by several authors;Sistema urogenital
WJ 7;Obras recopiladas de autores individuales;Collected works by individual authors;Sistema urogenital
WJ 9;Discursos. Ensayos. Conferencias.;Addresses. Essays. Lectures;Sistema urogenital
WJ 11;Historia;History;Sistema urogenital
WJ 11.1;Cobertura general;General coverage;Sistema urogenital
WJ 13;Diccionarios. Enciclopedias;Dictionaries. Encyclopedias;Sistema urogenital
WJ 15;Clasificación. Terminología;Classification. Terminology;Sistema urogenital
WJ 16;Tablas. Estadísticas. Encuestas;Tables. Statistics. Surveys;Sistema urogenital
WJ 16.1;Cobertura general;General coverage;Sistema urogenital
WJ 17;Atlas. Obras pictóricas;Atlases. Pictorial works;Sistema urogenital
WJ 18;Educación;Education;Sistema urogenital
WJ 18.2;Materiales educativos;Educational materials;Sistema urogenital
WJ 19;Escuelas, departamentos y facultades de urología;Schools, departments, and faculties of urology;Sistema urogenital
WJ 19.1;Cobertura general;General coverage;Sistema urogenital
WJ 20;Investigación (General);Research (General);Sistema urogenital
WJ 21;Urología como profesión. Nefrología como profesión. Ética. Revisión por pares.;Urology as a profession. Nephrology as a profession. Ethics. Peer review;Sistema urogenital
WJ 22;Directorios;Directories;Sistema urogenital
WJ 22.1;Cobertura general;General coverage;Sistema urogenital
WJ 23;Laboratorios colectivos, academias, institutos, etc.;Collective laboratories, academies, institutes, etc.;Sistema urogenital
WJ 24;Laboratorios individuales, academias, institutos, etc.;Individual laboratories, academies, institutes, etc.;Sistema urogenital
[WJ 24.5];[Este número no se utiliza];[This number not used];Sistema urogenital
[WJ 24.51];[Este número no se utiliza];[This number not used];Sistema urogenital
WJ 25;Manuales de laboratorio. Técnica;Laboratory manuals. Technique;Sistema urogenital
WJ 26;Equipos y suministros;Equipment and supplies;Sistema urogenital
WJ 26.5;Informática. Procesamiento electrónico de datos. Informática (General);Informatics. Electronic data processing. Computers (General);Sistema urogenital
WJ 27;Hospitales colectivos, clínicas, dispensarios, etc.;Collective hospitals, clinics, dispensaries, etc.;Sistema urogenital
WJ 27.1;Cobertura general;General coverage;Sistema urogenital
WJ 28;Hospitales individuales, clínicas, dispensarios, etc.;Individual hospitals, clinics, dispensaries, etc.;Sistema urogenital
WJ 28.5;Museos colectivos, exposiciones, etc.;Collective museums, exhibitions, etc.;Sistema urogenital
WJ 28.6;Museos individuales, exposiciones, etc.;Individual museums, exhibitions, etc.;Sistema urogenital
WJ 32;Leyes;Laws;Sistema urogenital
WJ 32.1;Cobertura general;General coverage;Sistema urogenital
WJ 33;Discusión de derecho;Discussion of law;Sistema urogenital
WJ 33.1;Cobertura general;General coverage;Sistema urogenital
WJ 39;Manuales. Guías de recursos;Handbooks. Resource guides;Sistema urogenital
WJ 100;Obras generales;General works;Sistema urogenital
WJ 101;Anatomía. Histología. Embriología. Anomalías.;Anatomy. Histology. Embryology. Abnormalities;Sistema urogenital
WJ 102;Fisiología. Bioquímica;Physiology. Biochemistry;Sistema urogenital
WJ 140;Enfermedades urogenitales (General);Urogenital diseases (General);Sistema urogenital
WJ 141;Examen. Diagnóstico. Métodos de diagnóstico. Monitoreo (General);Examination. Diagnosis. Diagnostic methods. Monitoring(General);Sistema urogenital
WJ 146;Trastornos de la micción y la micción;Urination and urination disorders;Sistema urogenital
WJ 151;Infecciones del tracto urinario;Urinary tract infections;Sistema urogenital
WJ 155;litiasis urinaria;Urolithiasis;Sistema urogenital
WJ 160;Neoplasias urogenitales (General);Urogenital neoplasms (General);Sistema urogenital
WJ 166;Terapéutica urológica;Urologic therapeutics;Sistema urogenital
WJ 168;Procedimientos quirúrgicos urogenitales;Urogenital surgical procedures;Sistema urogenital
WJ 170;Circuncisión;Circumcision;Sistema urogenital
[WJ 190];[Este número no se utiliza];[This number not used];Sistema urogenital
WJ 300;Obras generales;General works;Sistema urogenital
WJ 301;Anatomía. Histología. Embriología. Fisiología. Anomalías.;Anatomy. Histology. Embryology. Physiology. Abnormalities;Sistema urogenital
WJ 301.5;Enfermedades renales (generales o no clasificadas en otra parte);Kidney diseases (General or not elsewhere classified);Sistema urogenital
WJ 302;Diagnóstico. Radiografía. Monitoreo.;Diagnosis. Radiography. Monitoring;Sistema urogenital
[WJ 303];[Este número no se utiliza];[This number not used];Sistema urogenital
WJ 340;Nefrosis;Nephrosis;Sistema urogenital
WJ 342;Insuficiencia renal;Renal insufficiency;Sistema urogenital
WJ 342.5;Insuficiencia renal crónica;Chronic renal insufficiency;Sistema urogenital
[WJ 343];[Este número no se utiliza];[This number not used];Sistema urogenital
[WJ 344];[Este número no se utiliza];[This number not used];Sistema urogenital
WJ 348;Uremia;Uremia;Sistema urogenital
[WJ 351];[Este número no se utiliza];[This number not used];Sistema urogenital
WJ 353;Nefritis;Nephritis;Sistema urogenital
WJ 356;Nefrolitiasis;Nephrolithiasis;Sistema urogenital
WJ 358;Neoplasias renales. Enfermedades renales quísticas.;Kidney neoplasms. Cystic kidney diseases;Sistema urogenital
WJ 368;Cirugía. Trasplante de riñón;Surgery. Kidney transplantation;Sistema urogenital
WJ 378;Riñón artificial. Terapia de reemplazo renal.;Artificial kidney. Renal replacement therapy;Sistema urogenital
WJ 379;Diálisis peritoneal;Peritoneal dialysis;Sistema urogenital
WJ 400;Uréter;Ureter;Sistema urogenital
WJ 490;Vejiga urinaria. Cistoscopia;Urinary bladder. Cystoscopy;Sistema urogenital
WJ 500;Enfermedades de la vejiga urinaria;Urinary bladder diseases;Sistema urogenital
WJ 504;Neoplasias de la vejiga urinaria;Urinary bladder neoplasms;Sistema urogenital
WJ 600;Uretra;Urethra;Sistema urogenital
WK 1;Organizaciones. Sociedades (generales o no clasificadas en otra parte);Organizations. Societies (General or not elsewhere classified);Sistema endocrino
WK 5;Obras recopiladas de varios autores;Collected works by several authors;Sistema endocrino
WK 7;Obras recopiladas de autores individuales;Collected works by individual authors;Sistema endocrino
WK 9;Discursos. Ensayos. Conferencias.;Addresses. Essays. Lectures;Sistema endocrino
WK 11;Historia;History;Sistema endocrino
WK 11.1;Cobertura general;General coverage;Sistema endocrino
WK 13;Diccionarios. Enciclopedias;Dictionaries. Encyclopedias;Sistema endocrino
WK 15;Clasificación. Terminología;Classification. Terminology;Sistema endocrino
WK 16;Tablas. Estadísticas. Encuestas;Tables. Statistics. Surveys;Sistema endocrino
WK 16.1;Cobertura general;General coverage;Sistema endocrino
WK 17;Atlas. Obras pictóricas;Atlas. Pictorial works;Sistema endocrino
WK 18;Educación;Education;Sistema endocrino
WK 18.2;Materiales educativos;Educational materials;Sistema endocrino
WK 19;Escuelas, departamentos y facultades de endocrinología;Schools, departments and faculties of endocrinology;Sistema endocrino
WK 19.1;Cobertura general;General coverage;Sistema endocrino
WK 20;Investigación (General);Research (General);Sistema endocrino
WK 21;Endocrinología como profesión. Ética. Revisión por pares.;Endocrinology as a profession. Ethics. Peer review;Sistema endocrino
WK 22;Directorios;Directories;Sistema endocrino
WK 22.1;Cobertura general;General coverage;Sistema endocrino
WK 23;Laboratorios colectivos, academias, institutos, etc.;Collective laboratories, academies, institutes, etc.;Sistema endocrino
WK 24;Laboratorios individuales, academias, institutos, etc.;Individual laboratories, academies, institutes, etc.;Sistema endocrino
WK 25;Manuales de laboratorio. Técnica.;Laboratory manuals. Technique.;Sistema endocrino
WK 26;Equipos y suministros;Equipment and supplies;Sistema endocrino
WK 26.5;Informática. Procesamiento electrónico de datos. Informática (General);Informatics. Electronic data processing. Computers (General);Sistema endocrino
